City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Benghazi,LY,86.36,few clouds,32.12,20.07,Tibesti Hotel
529,Cairns,AU,73.4,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
531,Kot Isa Khan,IN,76.64,clear sky,30.95,75.13,Bawa Family
533,Manakara,MG,70.05,light rain,-22.13,48.02,La Residence Manakara
534,Dijkot,PK,82.69,clear sky,31.22,72.98,Al-Siddiq Food Point
538,Alyangula,AU,71.6,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
541,Celestun,MX,81.84,overcast clouds,20.87,-90.4,Posada Lilia
545,Ixtapa,MX,88.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
546,Mananjary,MG,72.52,light rain,-21.22,48.33,Vahiny Lodge
548,Maunabo,PR,84.99,overcast clouds,18.01,-65.9,Maunacaribe
553,Quang Ngai,VN,78.71,broken clouds,15.12,108.8,Central Hotel
555,Matara,LK,78.96,overcast clouds,5.95,80.54,Amaloh Boutique Resort
556,Vavoua,CI,78.69,light rain,7.38,-6.48,Hotel La Sougoun
558,Manga,BF,87.21,broken clouds,11.66,-1.07,Auberge Somkieta
560,Kaseda,JP,71.87,clear sky,31.42,130.32,Sun Stay Kaseda
562,Rayong,TH,84.0,moderate rain,12.83,101.43,Purimas Beach Hotel
565,Pasni,PK,85.55,clear sky,25.26,63.47,3G hotel pasni
572,Ridgecrest,US,87.01,clear sky,35.62,-117.67,SpringHill Suites by Marriott Ridgecrest
575,Acarau,BR,87.66,scattered clouds,-2.89,-40.12,castelo pizzaria
576,Bata,GQ,82.4,scattered clouds,1.86,9.77,Hotel Carmen
579,Samana,DO,87.8,few clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
581,Surt,LY,89.83,few clouds,31.21,16.59,City Hotel
583,Morro Bay,US,71.6,haze,35.37,-120.85,Inn at Morro Bay
584,Kaman,IN,82.65,clear sky,27.65,77.27,Khandelwal Dharmashala
585,Montepuez,MZ,81.19,few clouds,-13.13,39.0,RESIDÊNCIAL LANCHONETE
587,Nabire,ID,76.86,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
589,Manavalakurichi,IN,82.4,haze,8.13,77.3,Udaya Boys Hostel
590,Natal,BR,86.0,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
591,Mayumba,GA,77.83,broken clouds,-3.43,10.66,LIKWALE LODGE
595,Grand Gaube,MU,71.01,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
596,Berbera,SO,85.42,clear sky,10.44,45.01,Damal Hotel
600,Tabou,CI,79.05,overcast clouds,4.42,-7.35,hotêl doufoulougou
604,Menongue,AO,71.08,overcast clouds,-14.66,17.69,Ritz Lauca
608,Bowen,AU,71.6,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
610,Quelimane,MZ,77.0,few clouds,-17.88,36.89,Hotel Flamingo
611,Sambava,MG,73.18,few clouds,-14.27,50.17,Melrose
614,Loa Janan,ID,74.95,overcast clouds,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
618,Lamu,KE,78.8,few clouds,-2.27,40.9,Lamu House
620,Harper,LR,78.67,light rain,4.38,-7.72,Screensaver
622,Kahului,US,77.0,few clouds,20.89,-156.47,Maui Seaside Hotel
625,Yantzaza,EC,84.2,scattered clouds,-3.83,-78.76,HOTEL ALEJANDRO YANTZAZA
626,Belmonte,BR,84.2,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
629,Pemangkat,ID,78.46,moderate rain,1.17,108.97,Kost H.Syamsuddin
