City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Burns Lake,CA,54.23,-125.75,55.42,74,57,2.19,broken clouds
183,Hobyo,SO,5.35,48.53,78.75,85,27,18.05,scattered clouds
184,Pangai,TO,-19.8,-174.35,76.95,83,100,22.39,light rain
185,Bambari,CF,5.77,20.68,77.45,75,36,0.74,scattered clouds
186,Ichhawar,IN,23.02,77.02,74.97,51,7,5.14,clear sky
187,Sao Filipe,CV,14.9,-24.5,82.47,67,0,14.81,clear sky
188,Victoria,HK,22.29,114.16,82.99,79,89,7.99,light rain
189,Chumikan,RU,54.72,135.31,47.26,78,100,12.17,light rain
190,Esperance,AU,-33.87,121.9,48.2,93,90,6.93,overcast clouds
191,Lagoa,PT,39.05,-27.98,69.19,83,76,14.18,broken clouds
192,Yurga,RU,55.72,84.89,43.23,81,94,13.04,overcast clouds
193,Portomaggiore,IT,44.7,11.81,66.99,55,75,12.53,broken clouds
194,Lata,PT,40.16,-8.33,62.01,82,33,4.0,scattered clouds
195,Fortuna,US,40.6,-124.16,53.6,100,90,4.7,overcast clouds
196,Gilbues,BR,-9.83,-45.34,104.29,9,58,4.27,broken clouds
197,Saskylakh,RU,71.92,114.08,21.52,96,97,11.7,overcast clouds
198,North Battleford,CA,52.78,-108.28,51.8,62,1,6.93,clear sky
199,Novaya Igirma,RU,57.13,103.91,27.34,93,43,4.34,scattered clouds
200,Barrow,US,71.29,-156.79,33.8,100,90,3.36,fog
201,Udachnyy,RU,66.42,112.4,28.4,100,90,4.47,light snow
202,Srednekolymsk,RU,67.45,153.68,26.47,94,0,8.21,clear sky
203,Esso,RU,55.93,158.7,34.79,75,14,3.49,few clouds
204,Karasjok,NO,69.47,25.51,51.8,71,100,23.04,overcast clouds
205,Alamosa,US,37.47,-105.87,59.0,19,1,4.7,clear sky
206,Praia,CV,14.92,-23.51,82.4,74,75,20.8,broken clouds
207,La Ronge,CA,55.1,-105.28,46.4,75,75,6.93,broken clouds
208,Fairbanks,US,64.84,-147.72,51.8,69,20,6.93,few clouds
209,Longyearbyen,SJ,78.22,15.64,32.0,88,75,1.12,broken clouds
210,Mandalgovi,MN,45.76,106.27,23.52,83,0,12.39,clear sky
211,San Pedro,PH,14.35,121.02,80.6,94,85,3.36,light rain
212,Caravelas,BR,-17.71,-39.25,84.02,58,10,11.61,clear sky
213,Trinidad,BO,-14.83,-64.9,91.4,59,75,9.17,smoke
214,Galesong,ID,-5.32,119.37,73.4,83,20,1.12,few clouds
215,Harnosand,SE,62.63,17.94,53.6,81,64,9.17,broken clouds
216,Tondano,ID,1.3,124.91,77.0,94,40,1.12,scattered clouds
217,Nha Trang,VN,12.25,109.18,82.4,83,40,4.7,scattered clouds
218,Ileza,RU,61.05,43.9,39.85,87,4,4.85,clear sky
219,Upernavik,GL,72.79,-56.15,33.24,88,100,16.82,overcast clouds
220,Lebu,CL,-37.62,-73.65,49.89,64,27,7.94,light rain
221,Anloga,GH,5.79,0.9,84.2,70,20,13.87,few clouds
222,Ayan,RU,56.45,138.17,45.77,72,98,9.48,overcast clouds
223,Balabagan,PH,7.53,124.11,79.23,80,96,1.59,moderate rain
224,Talnakh,RU,69.49,88.4,28.4,86,70,26.84,broken clouds
225,Honiara,SB,-9.43,159.95,69.8,100,20,2.24,few clouds
226,Ust-Nera,RU,64.57,143.2,23.04,82,0,7.02,clear sky
227,Port Blair,IN,11.67,92.75,79.41,78,100,8.66,heavy intensity rain
228,Pierre,US,44.37,-100.35,54.0,76,75,3.36,broken clouds
229,Kavaratti,IN,10.57,72.64,81.27,73,66,9.8,broken clouds
230,Cotonou,BJ,6.37,2.42,82.4,78,40,14.99,scattered clouds
231,Ananas,HT,19.25,-71.96,87.48,49,2,1.79,clear sky
232,Limbang,MY,4.75,115.0,78.8,94,75,3.36,broken clouds
233,Ngaoundere,CM,7.32,13.58,69.31,94,99,3.98,light rain
234,Olafsvik,IS,64.89,-23.71,42.8,70,75,6.55,broken clouds
235,Sikasso,ML,10.92,-7.0,82.49,72,51,2.84,broken clouds
236,Raudeberg,NO,61.99,5.14,60.01,58,93,7.0,overcast clouds
237,Namie,JP,37.48,141.0,64.0,93,100,4.7,overcast clouds
